subj_idx,stim,rt,response,rulert
1, XSEV,0.86856,1,0.60164
1, XSNV,0.9186,1,0.55168
1, YSLV,0.75176,1,0.71846
1, YFEV,0.58488,1,0.51814
1, YFNV,0.60154,1,0.60171
1, XSEV,0.71825,1,0.51813
1, YSNV,0.66837,1,0.53488
1, XFLV,0.50136,1,0.51825
1, XFLV,0.50149,1,0.51824
1, XSNV,0.88533,1,0.51813
1, YSEV,0.70164,1,0.51808
1, XFLV,0.68503,0,0.70171
1, YSNV,0.66825,1,0.56817
1, YSEV,0.58484,1,0.68501
1, XFEV,0.56824,1,0.51813
1, YFNV,0.53477,1,0.76847
1, YSLV,0.76836,1,0.56839
1, YFEV,0.71843,1,0.70187
1, YFLV,1.169,1,0.51807
1, YSNV,1.319,1,0.51823
2, YSEV,0.71839,1,1.4363
2, XSLV,0.71846,1,1.0857
2, YFNV,0.75171,1,1.2193
2, XSLV,0.91858,1,0.51815
2, YFEV,0.81854,1,0.75186
2, YFNV,0.5013,1,0.5349
2, YFNV,0.50136,1,0.71847
2, YFEV,0.55149,1,0.61846
2, XSLV,0.71833,1,0.65165
2, XFLV,1.2023,1,0.96879
2, YSNV,0.70163,1,0.75186
2, XFEV,0.66825,1,0.68506
2, XSEV,0.90196,1,0.78524
2, YSLV,0.63491,1,0.61833
2, XSNV,1.0688,1,0.96877
2, XFEV,0.50144,1,0.86869
2, YFNV,0.50142,1,0.58496
2, XSLV,0.98532,1,0.63504
2, YSNV,0.65151,1,0.75189
2, YSEV,0.61825,1,0.95205
2, YSLV,0.78513,1,0.51816
2, XFLV,0.53477,1,0.51815
2, YSEV,1.0021,1,0.51807
2, XFNV,0.71839,1,0.51821
2, YFLV,0.68501,1,0.80194
2, XSNV,0.76839,1,0.6684
2, YFEV,1.4026,0,0.9689
2, XFEV,0.73497,1,0.93532
2, YSLV,0.86857,1,0.9522
2, XFNV,0.56809,1,0.81854
2, YSEV,0.70165,1,0.51817
2, YSNV,0.56811,1,1.0521
2, XSLV,1.4694,1,4.4067
2, XSNV,0.75174,1,0.96878
2, XFLV,0.51807,1,0.63502
2, YFEV,0.56812,1,1.2858
2, YSEV,0.73507,1,0.51824
2, XFLV,0.85193,1,0.51822
2, YFNV,0.50137,1,1.3025
2, XSLV,0.80167,1,0.81866
2, XSNV,3.5722,0,0.7686
2, XSEV,0.91858,1,0.88536
2, XFEV,1.9701,1,1.4195
2, XFLV,0.66828,1,1.4028
2, XFNV,0.61823,1,0.66845
2, YSLV,1.4527,1,0.95212
2, XSEV,1.0855,1,1.1522
2, YSNV,0.7685,1,1.0689
2, XFLV,0.9854,1,0.70163
2, YSEV,0.86848,1,0.90208
2, XFNV,0.71833,1,1.3192
2, XFEV,0.76847,1,1.1357
2, YFLV,0.78524,1,0.73515
2, XSNV,0.83524,1,0.90196
2, YFNV,0.50138,1,2.2038
2, YFLV,0.58485,1,0.70177
2, YSEV,1.0521,1,1.5528
2, XFEV,0.85185,1,1.6197
2, YSLV,0.71826,1,0.91867
2, YFNV,0.50137,1,0.902
2, XSEP,0.81835,1,1.6033
2, XFNP,1.1522,1,0.919
2, XSLP,2.1201,1,0.81863
2, XSEP,1.0688,1,1.1857
2, XFNP,0.53478,1,0.7852
2, XFLP,1.2024,1,0.70171
2, YSLP,1.7363,0,0.56839
2, XSNP,0.96866,1,0.51817
2, XSEP,0.80178,1,0.95211
2, XSLP,1.5362,1,0.55165
2, YSNP,0.80171,1,0.51816
2, YFEP,0.51806,1,1.0856
2, XFNP,1.753,0,0.60176
2, YSLP,2.187,0,0.60166
2, YFEP,0.71837,0,0.9688
2, YFLP,0.50136,1,0.51818
2, XSNP,0.95193,1,0.7352
2, YSEP,0.53481,1,1.0022
2, YSLP,1.2691,1,0.71852
2, XSEP,0.50129,0,0.83522
2, YFNP,0.5014,1,0.83521
2, XFEP,0.50128,1,1.1357
2, YFLP,0.61813,1,0.56831
2, XSNP,1.4693,1,0.51826
2, XSLP,1.5695,1,0.51804
2, YFNP,0.50134,1,0.83514
2, XSEP,1.3858,1,1.0856
2, YFLP,0.76835,1,0.66828
2, YSNP,1.1522,0,1.4528
2, XFEP,0.51796,1,0.78523
2, XFNP,0.5013,1,1.2024
2, XFLP,1.4526,1,0.93529
2, XFEP,0.61808,1,1.0522
2, YFLP,0.71842,1,0.71839
2, XFNP,0.50141,1,0.6517
2, XSEP,0.90193,1,0.80186
2, XSLP,0.93541,1,0.71844
2, YSNP,1.5861,1,0.65168
2, XFEP,0.55147,1,0.71861
2, XFEP,0.55144,1,0.70174
2, YFNP,0.53474,1,0.93548
2, XSLP,2.454,1,0.95206
2, XSLP,1.3692,1,0.70174
2, YSEP,0.90187,1,1.1024
2, XSNP,0.71829,0,2.7545
2, YFEP,0.51802,1,0.88533
2, YSNP,0.56811,1,0.66828
2, XFLP,1.2525,1,0.73516
2, YFNP,1.6363,0,0.51818
2, XFEP,0.78514,1,0.86871
2, XSLP,0.9687,1,0.78518
2, YSEP,1.4693,1,1.069
2, YSLP,1.3025,1,0.56829
2, YSNP,0.53476,1,0.58488
2, XSNP,0.88518,1,0.85194
2, YFLP,2.1702,1,1.386
2, XFEP,0.63482,1,0.85202
2, XFNP,1.436,1,0.75197
2, XFEP,0.56822,1,1.4195
2, XFLP,1.7197,1,1.0523
2, XSNV,0.88522,1,0.85216
2, XSLV,1.2024,1,1.0356
2, YFEV,0.83524,1,1.0858
2, YFEV,0.60151,1,1.0188
2, YFLV,0.53473,1,0.90205
2, XSNV,1.5862,1,1.1022
2, YSLV,1.2024,0,0.68505
2, YSNV,0.53478,1,0.68516
2, XFEV,0.55142,1,0.85207
2, XFNV,0.80178,1,1.1691
2, XFEV,0.65166,1,0.96888
2, YSLV,1.002,0,0.58499
2, XFLV,0.50147,1,1.3861
2, YFEV,0.50153,1,0.91872
2, XSNV,0.76842,1,0.51814
2, XFLV,0.51809,1,0.51827
2, YSEV,0.85188,1,1.0356
2, XFNV,0.50138,1,0.53491
2, YSEV,0.76854,1,0.68508
