subj_idx,stim,rt,response
2, YSEV,0.90185,1
2, XSLV,0.86851,1
2, YFNV,0.66827,1
2, XFLV,1.4526,1
2, YFEV,0.55146,1
2, YFNV,0.55141,1
2, YSNV,0.95192,1
2, YFEV,0.51809,1
2, XFLV,1.219,1
2, YSEV,0.7684,1
2, XSNV,0.78507,0
2, XFLV,1.002,1
2, YFEV,0.58479,1
2, XSNV,0.70156,1
2, YFLV,0.56812,1
2, YFLV,0.60135,1
2, XFEV,0.5014,1
2, XSNV,0.80179,1
3, XFNP,0.96867,1
3, YFEP,0.88509,1
3, YSLP,1.0855,0
3, XFLP,0.65157,1
3, YFNP,0.70166,1
3, YFEP,0.50146,1
3, YSNP,0.76846,1
3, YFEP,0.6015,1
3, YSLP,0.71839,1
3, YFLP,0.55151,1
3, YSEP,0.88512,1
3, YSNP,0.70167,1
3, YSLP,0.85192,1
3, YSNP,0.70175,1
3, YFEP,0.65151,1
3, XSLP,0.60152,1
3, YSNP,0.75177,1
3, XFEP,0.73488,1
3, YSEP,0.90196,1
3, XFNP,0.75175,1
3, XSLP,0.78516,1
3, XFLP,0.68494,1
3, XFNP,0.50143,1
3, YFEP,0.5013,1
3, XSEP,0.71834,1
3, YSLP,0.63489,1
3, YSNP,0.81841,1
3, YFEP,0.51805,1
3, YSNP,0.71845,1
3, YSLP,0.58492,1
3, XFEP,0.65156,1
3, XSNP,0.56808,0
3, YSLP,0.55135,1
3, YSLP,0.6682,1
3, XFNP,0.50142,1
3, YFEP,0.50146,1
3, YFNP,0.66815,1
3, XSLP,1.3359,1
3, XSEP,0.75166,0
3, XSNP,0.88533,1
3, YSLP,0.73515,1
3, YFEP,0.51809,1
3, XSLP,0.75172,1
3, XFNP,0.5681,1
3, XFEP,0.50138,1
3, XFEP,0.50132,1
3, YFNP,0.50139,1
3, YSLP,0.65157,0
3, XSNP,0.58489,0
3, XFLP,0.51807,1
3, YFEP,0.93522,1
3, XSNP,0.90192,1
3, XFEP,0.5516,1
3, XFLP,0.50137,1
3, YSEP,0.6515,0
3, XSNP,0.85184,1
3, XSLP,1.1523,1
3, YFEP,0.61811,1
3, YFLP,0.50143,1
3, XFNP,0.50131,1
3, XFNV,0.65166,1
3, YSLV,0.80179,0
3, XFEV,0.53477,1
3, YSNV,0.88519,1
3, YSLV,0.73505,1
3, YFEV,0.50138,1
3, XSNV,0.81847,0
3, XFEV,0.53479,1
3, YSLV,0.90197,1
3, XSLV,0.70169,1
3, YSEV,0.71841,1
3, YFNV,0.50129,1
3, YSLV,0.81835,1
3, YFEV,0.55141,1
3, XFNV,0.5014,1
3, XSLV,0.86849,1
3, YFEV,0.63489,1
3, XSNV,0.81848,1
3, YFEV,0.50147,1
3, XSLV,0.60154,0
3, XSNV,1.2858,1
3, XFLV,0.51801,1
3, XSEV,0.88513,1
3, YFNV,0.50139,1
3, YSEV,0.73511,1
3, XFNV,0.5347,1
3, YFLV,0.5013,1
3, XSNV,0.83516,1
3, YSEV,0.76846,1
3, YSLV,0.735,1
3, YFNV,0.53468,1
3, YSEV,0.65159,1
3, XFLV,0.56827,1
3, YSEV,0.685,1
3, YFNV,0.5014,1
3, YSLV,0.65159,1
3, YFEV,0.50133,1
3, XSLV,0.81859,1
3, YFNV,0.518,1
3, XFLV,0.75172,1
3, YSNV,1.1021,1
3, XSEV,0.68499,1
3, YSNV,0.88534,1
3, YFLV,0.50129,1
3, XSEV,1.0188,1
3, XFNV,0.51812,1
3, YFEV,0.55155,1
3, XFLV,0.50138,1
3, XFNV,0.56816,1
3, XSEV,1.0187,1
3, XSLV,0.73504,1
3, XFLV,0.51802,1
3, XSNV,0.7518,1
3, XFEV,0.53478,1
3, YFNV,0.50146,1
3, XSEV,0.73509,1
3, YFLV,0.51808,1
3, YFLV,0.50148,1
3, YFEV,0.65148,1
3, YSNV,0.73512,1
3, XSEP,1.0354,1
3, XFNP,0.55146,1
3, YSLP,0.8018,1
3, XFNP,0.51803,1
3, YSEP,1.2023,0
3, YSLP,0.83507,1
3, YFLP,0.50128,1
3, XSNP,0.91857,1
3, YSEP,0.88519,1
